model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,tuned_folds,mean_inner_best,best_params_fold0,target,block,chance,degenerate,permuted_score,gap_vs_permuted
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4531111111111111,0.086410126006986,25,False,20,5.7,25,0.5137301587301587,"{'max_depth': 4.0, 'n_estimators': 200.0, 'learning_rate': 0.1477317633429356, 'subsample': 0.7644474598764522, 'colsample_bytree': 0.6112401049845391, 'min_child_weight': 6.0, 'reg_alpha': 0.0019237305096546497, 'reg_lambda': 0.0023699857324257566}",tox_infertility,morphology,0.5,False,0.4961666666666666,-0.043055555555555514
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4523888888888889,0.0823652284899248,25,False,20,8.6,25,0.5212842712842712,"{'max_depth': 2.0, 'n_estimators': 350.0, 'learning_rate': 0.05301625223929667, 'subsample': 0.7865898335605542, 'colsample_bytree': 0.3040458143982555, 'min_child_weight': 2.0, 'reg_alpha': 3.003845922613053, 'reg_lambda': 0.01683462898928058}",tox_infertility,morphology+ecfp,0.5,False,0.5053333333333333,-0.052944444444444405
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.7045454545454546,0.1277025570105547,25,False,20,0.3,25,0.6955396825396827,{'C': 0.0694535625742477},tox_liver_toxicity,ecfp,0.5,False,0.4608181818181818,0.2437272727272728
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6835151515151514,0.1122804520304965,25,False,20,6.3,25,0.6962698412698411,"{'C': 5.724531833353893, 'l1_ratio': 0.3973901898112274}",tox_liver_toxicity,ecfp,0.5,False,0.4632424242424243,0.22027272727272712
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.689878787878788,0.1202892672075359,25,False,20,18.6,25,0.6953174603174602,{'C': 0.0694535625742477},tox_liver_toxicity,expression,0.5,False,0.473,0.216878787878788
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.6836666666666668,0.1180621149800904,25,False,20,18.9,25,0.6896349206349206,{'C': 0.0694535625742477},tox_liver_toxicity,morphology+expression,0.5,False,0.4826969696969697,0.20096969696969708
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.7017575757575757,0.1517402449199771,25,False,20,3.0,25,0.6706666666666667,"{'max_depth': 3.0, 'n_estimators': 150.0, 'learning_rate': 0.04884246274247253, 'subsample': 0.6222127960008014, 'colsample_bytree': 0.24307262528096776, 'min_child_weight': 1.0, 'reg_alpha': 0.4220057397195018, 'reg_lambda': 0.0039294251332449084}",tox_liver_toxicity,ecfp,0.5,False,0.5078787878787879,0.19387878787878776
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.6753939393939393,0.137733876562683,25,False,20,354.6,25,0.7168253968253968,"{'C': 0.41359973938398914, 'l1_ratio': 0.5448831829968969}",tox_liver_toxicity,morphology+expression,0.5,False,0.4822424242424242,0.19315151515151513
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6822121212121212,0.140371264250788,25,False,20,338.2,25,0.7213968253968254,"{'C': 0.41359973938398914, 'l1_ratio': 0.5448831829968969}",tox_liver_toxicity,expression,0.5,False,0.4949696969696969,0.18724242424242427
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6105151515151515,0.1254796710310356,25,False,20,0.4,25,0.6315238095238095,"{'n_components': 1.0, 'keep_x': 16.0}",tox_liver_toxicity,ecfp,0.5,False,0.433969696969697,0.17654545454545445
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6408181818181817,0.0995816132843603,25,False,20,10.5,25,0.648015873015873,"{'C': 3.131952252182865, 'l1_ratio': 0.984362574221411}",tox_liver_toxicity,morphology+ecfp,0.5,False,0.4709393939393939,0.16987878787878785
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5940909090909091,0.1206424111505888,25,False,20,0.6,25,0.6019365079365079,{'C': 0.0694535625742477},tox_liver_toxicity,morphology+ecfp,0.5,False,0.4484848484848484,0.14560606060606074
