target,block,model,n,score_mean,permuted_score,gap_vs_permuted,se_gap,gap_lo,gap_hi,clears_zero,degenerate
tox_renal_toxicity,morphology+expression,xgboost,70,0.5339444444444443,0.4992222222222222,0.0347222222222221,0.02791058916709428,-0.019981527345413835,0.08942597178985803,False,False
tox_pulmonary_toxicity,morphology,linear_svm,70,0.4858888888888888,0.4525555555555555,0.0333333333333333,0.03529176100822579,-0.035837247210016535,0.10250391387668313,False,False
tox_pulmonary_toxicity,morphology,xgboost,70,0.4953333333333333,0.4701666666666667,0.0251666666666666,0.03837373072658615,-0.05004446352753013,0.10037779686086333,False,False
moa-fine,morphology+expression,xgboost,64,0.5206666666666666,0.496,0.0246666666666666,0.019173129345229186,-0.012911976329729236,0.06224530966306244,False,False
tox_renal_toxicity,ecfp,linear_svm,70,0.6200555555555556,0.5983333333333333,0.0217222222222223,0.0349758364560802,-0.04682915757694492,0.09027360202138951,False,False
tox_infertility,morphology+expression,sparse_plsda,70,0.4781111111111111,0.4601111111111111,0.018,0.029500240635134886,-0.039819409193697905,0.0758194091936979,False,False
tox_liver_toxicity,expression,xgboost,70,0.5165151515151515,0.5,0.0165151515151514,0.0103094454181648,-0.0036909902097748727,0.03672129324007767,False,False
tox_infertility,expression,sparse_plsda,70,0.4853888888888888,0.4694444444444444,0.0159444444444444,0.03249929913774209,-0.04775301140327165,0.07964190029216045,False,False
tox_liver_toxicity,morphology+expression,xgboost,70,0.5116666666666666,0.4981818181818182,0.0134848484848483,0.008195947396061536,-0.00257891323438684,0.02954861020408344,False,False
tox_cardiotoxicity,morphology+expression,linear_svm,70,0.5477380952380951,0.5344047619047619,0.0133333333333331,0.03189345926305536,-0.04917669817932005,0.07584336484598625,False,False
tox_pulmonary_toxicity,expression,linear_svm,70,0.4891666666666666,0.4768333333333332,0.0123333333333333,0.033152073841616586,-0.052643537424295804,0.0773102040909624,False,False
tox_liver_toxicity,morphology,sparse_plsda,70,0.4629090909090909,0.4506969696969696,0.0122121212121212,0.03878855113053649,-0.06381204203406135,0.08823628445830375,False,False
tox_infertility,morphology,sparse_plsda,70,0.4468333333333333,0.4353888888888888,0.0114444444444444,0.03282911610442062,-0.052899440779603527,0.07578832966849232,False,False
tox_infertility,expression,xgboost,70,0.4742777777777778,0.4646111111111111,0.0096666666666667,0.021937937150510577,-0.033330900053527554,0.05266423338686095,False,False
tox_renal_toxicity,morphology,elastic_net,70,0.459111111111111,0.4513888888888888,0.0077222222222222,0.02809200932034447,-0.047337104311937286,0.06278154875638169,False,False
tox_pulmonary_toxicity,morphology,elastic_net,70,0.4761111111111111,0.4692222222222222,0.0068888888888888,0.029817208553550502,-0.051551766009304126,0.06532954378708172,False,False
tox_cardiotoxicity,morphology+ecfp,elastic_net,70,0.4652380952380952,0.4585714285714286,0.0066666666666665,0.021984611191733644,-0.036422379493359365,0.04975571282669237,False,False
tox_pulmonary_toxicity,morphology+expression,linear_svm,70,0.4765555555555555,0.4699444444444444,0.0066111111111111,0.03816073866303744,-0.06818256230943932,0.08140478453166151,False,False
tox_infertility,expression,linear_svm,70,0.4092777777777778,0.4033333333333332,0.0059444444444445,0.03272403503750417,-0.0581934856729418,0.0700823745618308,False,False
tox_liver_toxicity,morphology,elastic_net,70,0.4792121212121212,0.4732727272727273,0.0059393939393939,0.01934808025015377,-0.03198214652979728,0.04386093440858507,False,False
tox_infertility,morphology+expression,linear_svm,70,0.3867222222222222,0.3818888888888889,0.0048333333333333,0.032243054568406426,-0.058361892387133005,0.0680285590537996,False,False
tox_infertility,expression,elastic_net,70,0.4621111111111111,0.4625,-0.0003888888888889,0.022574638889418665,-0.044634368086529874,0.04385659030875208,False,False
tox_cardiotoxicity,morphology,xgboost,70,0.4698809523809524,0.4751190476190476,-0.0052380952380952,0.031069467188595608,-0.06613313196088179,0.05565694148469139,False,False
tox_infertility,morphology+expression,xgboost,70,0.4591666666666667,0.4682222222222222,-0.0090555555555554,0.021935556568624105,-0.05204845642098883,0.03393734530987803,False,False
moa-fine,expression,xgboost,64,0.4893333333333334,0.5,-0.0106666666666666,0.00810377141281212,-0.026549766778450924,0.005216433445117722,False,False
tox_liver_toxicity,morphology,xgboost,70,0.4981818181818182,0.5127272727272727,-0.0145454545454544,0.010068634985355237,-0.034279616494861664,0.005188707403952865,False,False
tox_liver_toxicity,morphology+ecfp,xgboost,70,0.4961818181818181,0.5128787878787878,-0.0166969696969697,0.009982581708024829,-0.03626247032201815,0.0028685309280787503,False,False
tox_pulmonary_toxicity,morphology+expression,elastic_net,70,0.4527777777777777,0.4703888888888888,-0.017611111111111,0.0246043657673758,-0.06583478188893446,0.030612559666712454,False,False
tox_renal_toxicity,morphology+ecfp,linear_svm,70,0.5142222222222221,0.5330555555555555,-0.0188333333333333,0.03163685536338828,-0.08084043044422842,0.04317376377756182,False,False
tox_infertility,morphology,elastic_net,70,0.4647222222222222,0.4874444444444444,-0.0227222222222222,0.0239067736669023,-0.06957863760689709,0.024134193162452695,False,False
tox_infertility,morphology,linear_svm,70,0.4594444444444444,0.4832222222222222,-0.0237777777777778,0.030440685088249476,-0.08344042422947331,0.035884868673917714,False,False
tox_cardiotoxicity,expression,elastic_net,70,0.5203571428571427,0.5446428571428572,-0.0242857142857144,0.03495935443604521,-0.092804789919213,0.0442333613477842,False,False
tox_cardiotoxicity,morphology,elastic_net,70,0.4827380952380952,0.5095238095238094,-0.0267857142857141,0.02135967761143409,-0.06864991313533575,0.015078484563907542,False,False
tox_infertility,morphology+expression,elastic_net,70,0.4379999999999999,0.4671111111111111,-0.0291111111111112,0.026607295017497503,-0.08126045108367624,0.023038228861453847,False,False
tox_renal_toxicity,morphology+ecfp,xgboost,70,0.4481111111111111,0.4796111111111111,-0.0314999999999999,0.02858532818867609,-0.08752621374921032,0.02452621374921051,False,False
tox_pulmonary_toxicity,expression,elastic_net,70,0.4511666666666666,0.4856111111111111,-0.0344444444444445,0.027467439758986998,-0.0882796371322161,0.019390748243327094,False,False
tox_cardiotoxicity,ecfp,xgboost,70,0.4820238095238094,0.5175,-0.0354761904761905,0.030082464136537694,-0.0944367367638585,0.0234843558114775,False,False
tox_renal_toxicity,morphology,xgboost,70,0.4481666666666666,0.4847222222222222,-0.0365555555555556,0.026832323422449147,-0.08914594309742786,0.016034831986316667,False,False
tox_cardiotoxicity,morphology+ecfp,sparse_plsda,70,0.4004761904761904,0.4385714285714286,-0.0380952380952382,0.035168028796523504,-0.10702330795986717,0.030832831769390757,False,False
