pair,variant,n,p_a,p_b,rv_adj,rv_adj_p,mantel_r,mantel_p,protest_r,protest_p,rv_plain,rv2,rv_emp_adj,permutations
expression~ecfp,ctl_scrambled,119,41780,1024,0.009093492628627025,0.095,0.07086441420198905,0.0789,0.822594366452603,0.2022,0.2585188967341911,0.012609067758103928,0.0091711481105277,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.0012702771840582582,0.4091,0.024219729428824444,0.3104,0.8217551151845933,0.3112,0.25266489701194383,0.003323806025928198,0.0014168655840441815,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.002715750485312943,0.3348,-0.0187139997391669,0.6336,0.8207895963395202,0.4674,0.25374652391638186,0.015328929226264191,0.0027462273792618467,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.012312239785184708,0.9677,-0.058368853898868804,0.8757,0.8160612438195656,0.9779,0.24250129470177517,-0.010033301328362656,-0.012273482633732936,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.0012462305143670573,0.4148,0.0160440029834978,0.3617,0.8198536321296899,0.6234,0.2526469032344887,-0.0035762450100023575,0.0013014759529416501,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.005927460280706387,0.8011,-0.04215857412445375,0.7963,0.8202641848519249,0.5563,0.24727893347583893,0.0043449733066570064,-0.005980719872458537,9999
expression~ecfp,ctl_random,119,41780,1024,0.0005642549795529808,0.4467,-0.08578966868362423,0.9917,0.8413745982823567,0.3739,0.2742220097283983,0.010946301555738227,0.0005638081573180111,9999
expression~ecfp,ctl_random,119,41780,1024,0.00023327744780933713,0.4766,-0.03840183485247155,0.8586,0.8410135872213684,0.5796,0.2742299410886613,0.008918320529449027,0.00012806593534450686,9999
expression~ecfp,ctl_random,119,41780,1024,0.004684623937272695,0.1691,0.009541872579277027,0.3954,0.8422671350899121,0.1718,0.27741426191086227,0.018076633254186947,0.004827043884330395,9999
expression~ecfp,ctl_random,119,41780,1024,-0.002404163853223911,0.6829,-0.044606291485136576,0.8716,0.8410955457768587,0.6932,0.2727305356443476,0.003360640738127715,-0.0024352781636832136,9999
expression~ecfp,ctl_random,119,41780,1024,0.005390772984423039,0.1429,-0.04095914734037392,0.8613,0.8420577971174373,0.2071,0.2778354315468037,0.02141076399694421,0.005404920078025214,9999
expression~ecfp,ctl_random,119,41780,1024,-0.0015210716330448805,0.6183,-0.007100400105435127,0.5793,0.8411287113277497,0.6116,0.2731440499158177,0.004453257749932009,-0.0015732026431743232,9999
