target,block,model,score_mean_base,score_mean_tuned,d_score,permuted_score_base,permuted_score_tuned,d_permuted,gap_vs_permuted_base,gap_vs_permuted_tuned,d_gap,verdict
tox_infertility,expression,xgboost,0.474,0.4742777777777778,0.0002777777777778212,0.497111111111111,0.4646111111111111,-0.03249999999999992,-0.023111111111111,0.0096666666666667,0.0327777777777777,improved
tox_pulmonary_toxicity,ecfp,elastic_net,0.5603888888888888,0.5792777777777778,0.018888888888888955,0.5008888888888889,0.4877222222222221,-0.013166666666666826,0.0594999999999998,0.0915555555555556,0.032055555555555795,improved
moa-fine,morphology+expression,linear_svm,0.7120000000000001,0.7293333333333334,0.01733333333333331,0.3986666666666666,0.3853333333333333,-0.013333333333333308,0.3133333333333334,0.3440000000000001,0.030666666666666675,improved
moa-fine,expression,linear_svm,0.6940000000000001,0.73,0.03599999999999992,0.3853333333333333,0.3913333333333333,0.006000000000000005,0.3086666666666667,0.3386666666666666,0.029999999999999916,improved
tox_cardiotoxicity,morphology+ecfp,linear_svm,0.4776190476190476,0.4695238095238095,-0.0080952380952381,0.4489285714285714,0.4128571428571428,-0.03607142857142859,0.0286904761904762,0.0566666666666667,0.027976190476190498,improved
tox_pulmonary_toxicity,morphology+ecfp,linear_svm,0.5671666666666666,0.5533888888888889,-0.013777777777777667,0.4482777777777778,0.4073333333333333,-0.04094444444444445,0.1188888888888888,0.1460555555555556,0.02716666666666681,improved
tox_liver_toxicity,ecfp,elastic_net,0.6714545454545454,0.6835151515151514,0.012060606060605994,0.477060606060606,0.4632424242424243,-0.01381818181818173,0.1943939393939394,0.2202727272727271,0.025878787878787696,improved
tox_pulmonary_toxicity,morphology,linear_svm,0.4877222222222221,0.4858888888888888,-0.001833333333333298,0.4790555555555555,0.4525555555555555,-0.026500000000000024,0.0086666666666666,0.0333333333333333,0.024666666666666698,improved
moa-fine,morphology+expression,xgboost,0.5,0.5206666666666666,0.02066666666666661,0.5,0.496,-0.0040000000000000036,0.0,0.0246666666666666,0.0246666666666666,improved
tox_renal_toxicity,expression,xgboost,0.5297222222222223,0.5453888888888888,0.015666666666666496,0.5066666666666666,0.5003333333333333,-0.006333333333333302,0.0230555555555557,0.0450555555555555,0.0219999999999998,improved
tox_pulmonary_toxicity,expression,linear_svm,0.4823888888888888,0.4891666666666666,0.0067777777777777715,0.4909999999999999,0.4768333333333332,-0.01416666666666666,-0.008611111111111,0.0123333333333333,0.0209444444444443,improved
tox_infertility,morphology+expression,xgboost,0.467,0.4591666666666667,-0.007833333333333303,0.4964444444444444,0.4682222222222222,-0.028222222222222204,-0.0294444444444443,-0.0090555555555554,0.0203888888888889,improved
moa-fine,morphology+expression,sparse_plsda,0.5559999999999999,0.5633333333333334,0.007333333333333414,0.4773333333333333,0.4645833333333333,-0.012749999999999984,0.0786666666666666,0.09875,0.02008333333333341,improved
