gene,highly_variable
CAMK2A,True
TCOF1,False
CDC42,False
OSBPL3,False
EPHA8,False
SLC12A3,False
RAD18,False
ATP2B1,False
TRPM5,False
NCK2,False
MAP4K4,False
MGAT4A,False
RPL31,True
WDR1,False
SNX13,False
MS4A12,True
ARHGAP10,False
RPS6KA2,True
ING3,False
VASH1,False
LMCD1,True
BUD23,False
SEL1L,True
TRIP13,False
ATP6AP1,False
TCF3,False
TRIB2,False
DAZAP1,False
MBD3,False
PRLH,False
HLTF,False
FAM50A,False
FAM3A,False
CPSF1,False
MYO3B,False
CYBRD1,False
CDH19,False
PDCD2,False
SLC6A15,False
RDH11,False
PRKACA,False
ADGRL1,False
SPP2,False
ACTN1,False
ZFYVE26,False
RPS6KA6,False
EPN2,False
PTPN18,False
LIMS2,False
ASIC4,True
SPEG,False
LNX1,False
ALDH3A2,False
TFRC,False
SREBF1,False
TRPC5,True
AFF4,False
UBE2D1,True
PALS1,False
RHOBTB1,False
SMC1A,False
HSD17B10,False
MARK2,False
HMMR,False
CHFR,False
TRHDE,False
P4HA2,True
FCGR2B,False
NFATC3,False
TRNT1,False
ACADVL,False
STK10,False
FBXW11,False
ACAP1,False
CRMP1,False
EVC,False
DERL2,False
SIDT1,False
NDE1,False
IRAG1,False
TMEM38A,False
AP1M1,False
PVR,False
XRCC1,False
SCARB1,False
CYP2W1,True
MCM2,False
MOV10L1,True
PANX2,False
SELENOO,False
TP63,False
ALPK1,False
LLGL2,False
PDE8A,False
CLCN4,True
NLE1,False
SDHA,False
SMARCE1,False
FNDC8,False
GSDMB,False
KDM5A,False
ADAM11,False
PPP2R3A,True
FERMT2,True
ABCB11,False
DHRS9,True
CD5L,False
PTGS2,False
IGF2BP2,False
MAP3K13,False
ST6GAL1,False
TBX21,False
VDAC1P1,False
FRY,False
PICALM,False
NSF,False
GLI2,False
CLASP1,False
MRPS34,False
NOTCH3,True
CLNS1A,False
PPP2R2C,False
TEAD2,False
EED,False
CDHR2,False
SNCB,False
TSG101,False
NCBP3,False
ATP2A3,False
CA12,True
MGLL,False
NTN4,True
BCS1L,False
NUAK1,False
DPP8,False
SLC24A1,False
ZNF532,False
SCARF1,False
LMAN1,False
HACD3,False
IPCEF1,True
ZZEF1,False
NOX3,False
ENO1,False
SLC12A1,False
MYDGF,True
ANO8,False
TUBE1,False
ARHGEF10L,False
TXK,True
WSCD2,False
KCNQ2,True
TACR2,False
ACTR6,False
TIPIN,False
SRI,False
EIF4G3,False
NUP37,False
SEMA3A,False
GTSE1,False
SEMA3C,True
TTC38,False
ACAT1,False
GRAMD4,False
CELSR1,False
WNT8B,False
ZNF638,False
SLC25A40,False
TIMM21,False
ADD2,False
FGF4,False
RASAL2,False
VPS9D1,False
ZNF37A,False
MARK3,False
SLC25A3,False
FNDC3B,False
FOSL2,False
CACNG5,False
CACNG4,False
FRYL,False
TMEM131,False
FSCN1,False
ACTB,True
MOCOS,True
PLD1,False
ATP12A,False
WDR62,True
DLG1,False
RAB7A,False
BCAP29,False
SEC31B,False
SART3,False
ARHGAP15,True
TUBA3D,False
PAX2,False
EXOSC7,False
KIFAP3,False
MKRN2,False
MCM6,False
REXO2,False
RBM7,False
RBMS2,True
BAZ2A,False
PTPN23,False
MLH1,False
UNG,False
FMO4,False
KLHL20,False
RGS11,False
SLC46A1,True
PLXNA2,True
SPAG5,False
ANKRD13A,False
TPD52,False
ACACB,False
TRAF4,False
PAG1,False
GPATCH1,False
ICAM3,False
NT5C2,False
MCAM,False
GPC4,False
MBNL3,True
CAMSAP3,False
RAP1GAP,False
XAB2,False
ARHGEF1,False
STXBP2,False
MAP2K7,False
NMRK2,True
DGKD,False
CTTNBP2,False
ACTL6B,False
RARB,False
