model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate,permuted_score,gap_vs_permuted
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.3,tox_liver_toxicity,morphology,0.5,True,0.5,0.0
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,61.6,tox_liver_toxicity,expression,0.5,True,0.5,0.0
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,63.2,tox_liver_toxicity,morphology+expression,0.5,True,0.5,0.0
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.4,tox_liver_toxicity,morphology+ecfp,0.5,True,0.5,0.0
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4764242424242424,0.0730373189135959,25,False,0,4.1,tox_liver_toxicity,morphology,0.5,False,0.482969696969697,-0.0065454545454545765
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4076666666666665,0.0875821325141198,25,False,0,0.1,tox_liver_toxicity,morphology,0.5,False,0.4758787878787879,-0.06821212121212139
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5671666666666666,0.1131267725459657,25,False,0,0.1,tox_pulmonary_toxicity,morphology+ecfp,0.5,False,0.4482777777777778,0.11888888888888882
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5658333333333333,0.1075764155620793,25,False,0,8.5,tox_pulmonary_toxicity,morphology+ecfp,0.5,False,0.456,0.10983333333333328
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5292777777777777,0.1523863267901441,25,False,0,0.1,tox_pulmonary_toxicity,morphology,0.5,False,0.4273888888888889,0.10188888888888886
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6583888888888889,0.1092231829956612,25,False,0,0.2,tox_pulmonary_toxicity,ecfp,0.5,False,0.5626111111111111,0.09577777777777785
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5567777777777777,0.1399235461437141,25,False,0,0.4,tox_pulmonary_toxicity,morphology+ecfp,0.5,False,0.4702222222222222,0.0865555555555555
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5466666666666666,0.1015010794809713,25,False,0,0.1,tox_pulmonary_toxicity,ecfp,0.5,False,0.4641111111111111,0.08255555555555555
